Oyuncu_Adi;Yas;Saha;Rakip;Oynama_Sure;Sayi;Rebound;Asist;PIR;Etki;Seyahat_Mesafe;Seyahat_Sure;Dinlenme_Sure;Tarih;Round;RakipForm;fg2;fg3
Derek Willis;28;0;ALBA Berlin;22;3;4;0;2;10;0;0;1;21.03.2024;31;0;0;0,5
Shane Larkin;31;0;ALBA Berlin;14;0;3;2;1;-4;0;0;1;21.03.2024;31;0;0;0
Shane Larkin;31;1;Baskonia Vitoria-Gasteiz;28;28;2;2;29;28;2693;323;6;28.03.2024;32;0,33;0,75;0,56
Will Clyburn;33;1;Baskonia Vitoria-Gasteiz;30;20;4;1;22;20;2693;323;3;28.03.2024;32;0,33;0,43;0,43
Darius Thompson;28;1;Baskonia Vitoria-Gasteiz;19;7;1;3;6;-5;2693;323;3;28.03.2024;32;0,33;0,4;0,33
Rodrigue Beaubois;36;1;Baskonia Vitoria-Gasteiz;15;5;0;2;3;-2;2693;323;6;28.03.2024;32;0,33;0,33;0,5
Elijah Bryant;29;1;Baskonia Vitoria-Gasteiz;15;0;4;4;3;-8;2693;323;3;28.03.2024;32;0,33;0;0
Derek Willis;28;1;Baskonia Vitoria-Gasteiz;11;2;0;0;0;-5;2693;323;3;28.03.2024;32;0,33;1;0
Nigel Hayes-Davis;31;0;ALBA Berlin;30;50;2;0;46;39;0;0;6;29.03.2024;32;0;0,82;0,56
Nick Calathes;35;0;ALBA Berlin;19;2;4;7;13;13;0;0;3;29.03.2024;32;0;0,5;0
Scottie Wilbekin;31;0;ALBA Berlin;21;2;2;6;10;19;0;0;6;29.03.2024;32;0;1;0
Dyshawn Pierre;30;0;ALBA Berlin;17;6;4;1;8;11;0;0;7;29.03.2024;32;0;0;0,4
Will Clyburn;33;1;Fenerbahce Beko Istanbul;33;21;5;4;28;9;0;0;2;5.04.2024;33;0;0,71;0,4
Shane Larkin;31;1;Fenerbahce Beko Istanbul;31;15;4;5;18;8;0;0;7;5.04.2024;33;0;0,5;0,37
Marko Guduric;29;0;Anadolu Efes Istanbul;19;15;2;2;15;0;0;0;7;5.04.2024;33;0,8;0,67;0,5
Scottie Wilbekin;31;0;Anadolu Efes Istanbul;29;17;1;3;12;6;0;0;6;5.04.2024;33;0,8;1;0,5
Rodrigue Beaubois;36;1;Fenerbahce Beko Istanbul;21;10;3;4;11;-3;0;0;2;5.04.2024;33;0;0,75;0,33
Nigel Hayes-Davis;31;0;Anadolu Efes Istanbul;29;10;8;1;10;-10;0;0;6;5.04.2024;33;0,8;0;0,33
Elijah Bryant;29;1;Fenerbahce Beko Istanbul;19;7;3;1;7;-5;0;0;7;5.04.2024;33;0;0,33;0
Nick Calathes;35;0;Anadolu Efes Istanbul;24;6;6;3;4;-8;0;0;6;5.04.2024;33;0,8;0,2;0,33
Dyshawn Pierre;30;0;Anadolu Efes Istanbul;21;0;1;2;0;5;0;0;6;5.04.2024;33;0,8;0;0
Nigel Hayes-Davis;31;1;Olympiacos Piraeus;31;21;3;2;17;5;616;150;3;12.04.2024;34;1;0,75;0,4
Scottie Wilbekin;31;1;Olympiacos Piraeus;25;12;4;1;10;-17;616;150;3;12.04.2024;34;1;0;0,33
Dyshawn Pierre;30;1;Olympiacos Piraeus;20;4;4;1;9;3;616;150;6;12.04.2024;34;1;0,5;0
Nick Calathes;35;1;Olympiacos Piraeus;30;2;8;7;8;0;616;150;3;12.04.2024;34;1;0,33;0
Marko Guduric;29;1;Olympiacos Piraeus;17;9;4;0;7;0;616;150;3;12.04.2024;34;1;1;0,25
Elijah Bryant;29;0;Crvena Zvezda Belgrade;21;26;2;2;24;32;0;0;5;11.04.2024;34;0;0,64;0,5
Derek Willis;28;0;Crvena Zvezda Belgrade;18;15;4;4;20;25;0;0;7;11.04.2024;34;0;0,25;0,75
Rodrigue Beaubois;36;0;Crvena Zvezda Belgrade;12;4;3;1;8;26;0;0;2;11.04.2024;34;0;0;0
Shane Larkin;31;0;Crvena Zvezda Belgrade;19;2;0;7;7;13;0;0;2;11.04.2024;34;0;1;0
Will Clyburn;33;0;Crvena Zvezda Belgrade;20;9;3;2;7;16;0;0;2;11.04.2024;34;0;0,43;0,25
Darius Thompson;28;0;Crvena Zvezda Belgrade;16;4;1;2;3;29;0;0;7;11.04.2024;34;0;0,4;0
